RAMP_TO_RAMP,AIR_TIME,DISTANCE
2935,2655,1436
1741,1442,853
1276,902,524
1661,1337,692
1256,1016,524
1402,1102,692
2557,2231,1370
2213,1919,1024
2797,2502,1370
2058,1642,1024
1833,1503,957
1726,1383,692
1190,897,455
1698,1393,775
1800,1578,853
1563,1210,589
1870,1499,862
1327,983,472
1779,1505,819
2003,1725,948
1585,1353,651
3355,3044,1703
2221,1912,1014
2095,1764,1014
2765,2376,1068
2378,1949,996
2578,2121,1068
1074,786,349
2661,2340,1290
1374,1074,472
3004,2647,1290
1636,1239,589
1838,1504,826
2240,1769,826
2070,1605,872
1635,1349,624
1521,1187,616
1679,1389,616
2946,2327,1068
2358,1865,1068
2875,2547,1123
2013,1594,752
1167,831,349
1647,1320,628
4016,3537,1620
2417,2000,1024
2122,1791,909
2420,2037,872
2693,2322,1014
2405,2021,1014
1954,1564,679
2738,2222,1162
1900,1405,679
3071,2622,1162
1628,1405,632
2418,2100,1061
2221,1889,872
2295,1899,872
2583,2318,1061
1653,1397,624
2198,1875,771
1409,1220,328
1345,1145,328
2016,1643,680
3209,2726,1123
1722,1361,541
1398,1001,349
1833,1290,533
2416,1928,776
1728,1412,563
2161,1782,776
3079,2732,1154
1203,851,349
3311,2842,1201
2409,2019,977
1874,1496,628
2315,2013,964
2527,2212,1062
3356,3023,1290
2472,2104,948
1975,1626,651
2657,2337,991
3045,2580,1024
2556,2114,991
2668,2142,1024
1972,1649,752
1822,1442,563
3120,2687,996
1985,1417,616
2908,2250,996
1572,1199,420
1334,994,349
3554,3171,1491
2874,2509,1154
2499,2059,862
3226,2794,1290
2641,2312,948
2688,2323,948
1519,1133,391
2003,1671,770
1395,1034,391
4006,3573,1506
1912,1561,628
1701,1282,541
845,381,73
732,315,73
1958,1656,589
1556,1172,455
1514,1151,455
2387,1952,819
2152,1816,819
2207,2005,828
1474,1081,420
2895,2334,1024
1387,990,300
4774,4372,1671
1884,1335,524
1805,1460,524
2954,2536,964
2811,2437,1062
1966,1580,602
2578,2200,804
2286,1965,794
2984,2357,967
1701,1376,483
2321,1955,836
2375,1978,804
2857,2117,967
4254,3700,1506
1506,1073,349
1451,996,349
3233,2748,1201
1693,1251,391
2038,1604,533
2766,2215,911
2010,1614,626
1954,1532,626
2805,2369,872
4005,3292,1199
2315,1845,752
2870,2469,1062
1421,1000,292
3681,3245,1085
2030,1487,533
2218,1691,616
2552,1975,641
2935,2249,844
2190,1671,602
2619,2186,794
2523,2145,775
4026,3612,1337
3650,3187,1337
1666,1280,483
1706,1318,483
2692,2322,836
1870,1405,533
1777,1365,495
3481,3041,1290
2699,2346,853
2400,2015,794
1933,1466,483
3262,2849,1201
1851,1443,589
2196,1749,589
3268,2636,911
2472,2069,680
1546,1138,420
2460,1834,649
1596,1102,349
2662,2145,770
1324,938,292
3778,3266,1199
4590,4250,1703
2322,1866,680
2682,2331,819
3179,2771,991
3424,3000,1024
3198,2731,948
4348,3860,1506
3352,2877,1015
2117,1720,533
2645,2249,819
4983,4388,1558
4244,3817,1290
2884,2409,770
4615,4185,1506
4452,4045,1671
2693,2402,804
2969,2629,1024
1652,1286,391
2035,1509,533
1532,1329,160
471,344,40
3331,2688,1069
1249,690,141
2598,2123,637
3192,2635,848
3308,2713,775
2589,2110,638
2846,2376,771
1882,1482,423
4775,4283,1671
1738,1344,472
4319,3800,1482
3260,2774,916
3425,2775,967
5580,4906,1703
2679,2083,680
3810,3363,1062
2148,1605,472
3173,2747,991
5111,4631,1482
2840,2358,794
2991,2517,916
4005,3632,1201
3486,3055,1154
4790,4291,1620
3749,3117,1154
2178,1641,516
2039,1551,516
1532,1329,160
2790,2357,854
471,345,40
1516,1388,172
2906,2451,854
2939,2474,804
1194,634,141
2159,1583,472
1601,1065,300
2084,1348,349
4532,3933,1199
3294,2614,850
4319,3722,1069
1801,1269,349
2726,2115,641
3533,2888,844
2748,2110,602
2242,1746,483
2622,2011,533
3596,2881,964
