UNIQUE_CARRIER_ENTITY,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,FREIGHT
6725,12339,11292,1105
6725,12954,11292,0
6725,13495,11292,0
6725,13871,11292,397
6725,13891,11292,833
6725,13931,11292,0
6003,10140,11292,0
6003,10599,11292,0
6003,11042,11292,0
6003,11292,11003,0
6003,11292,12339,0
6003,11292,11292,0
6003,11292,11292,0
6003,11292,11292,0
6003,11292,10620,0
6003,11298,14783,0
6003,11423,14814,0
6003,13244,15376,0
6003,13487,11292,0
6003,13495,11292,0
6003,13871,11292,0
6003,14683,11109,0
6003,15919,11292,0
6460,11003,12892,0
6460,11292,11921,0
6460,11292,11298,0
6460,12339,11292,0
6460,13487,11292,0
6904,10620,10140,0
6904,11292,11298,0
6904,11292,11292,0
6904,11292,11884,0
6904,11292,13486,0
6904,13198,13487,0
6904,14814,14783,0
6904,15376,12892,0
6085,13930,11292,0
6910,13891,11413,70464
1131,11921,11292,0
1131,12892,11292,0
0A050,11292,11292,0
0A050,11298,11292,11
7041,10140,11292,0
7041,11292,11292,0
7041,11292,11292,0
7041,11298,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,10713,0
6700,11413,10849,0
6700,11884,11057,0
6700,12892,11066,0
6700,13198,11066,0
6700,13486,11603,0
6700,13487,11648,0
6700,13871,12982,0
6700,14783,13485,0
0A875,10397,13495,153
0A875,10849,14100,0
0A875,11003,14100,31
0A875,11066,14570,225
0A875,11066,14771,484
0A875,11193,11292,24
0A875,11292,11292,575
0A875,11292,11292,125
0A875,11292,11292,111
0A875,11292,11292,104
0A875,11292,11292,276
0A875,11292,11292,5
0A875,11292,10423,119
0A875,11292,13931,0
0A875,11292,14679,5
0A875,11292,14683,209
0A875,11292,14831,1272
0A875,11292,11292,593
0A875,11292,11292,24
0A875,11292,11292,3711
0A875,11433,11292,5
0A875,11648,11292,5
0A875,12982,11292,0
0A875,13485,12339,112
0A875,14570,14683,19
6725,10140,11292,1861
6725,10994,11292,0
6725,11292,13342,505
6725,11292,14908,36
6725,11292,11292,0
6725,11292,11292,387
6725,11292,13487,509
6725,13342,12278,165
6725,13487,11292,1591
6725,13931,13930,0
6725,14683,13502,0
6725,14869,10800,8
6725,15376,14730,82
6003,11292,14869,0
6003,11292,11292,0
6003,11540,11003,0
6003,14869,12339,0
6460,11292,11292,0
6460,11292,11292,0
6460,13342,10397,0
6460,14908,10620,0
6795,11292,11042,0
6904,11292,11413,0
6904,12278,11648,0
6820,13502,12278,0
6820,13930,13198,0
6910,11292,13244,153735
6910,11292,13433,243523
6910,11292,13871,173084
6910,14869,14689,171992
7041,11292,11292,0
7041,11292,11292,0
7041,12339,11292,0
6700,10620,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,11292,0
6700,11292,10821,0
6700,11292,11003,0
6700,11292,11057,0
6700,11292,11193,0
6700,11292,11618,0
6700,11292,11884,0
6700,11292,13264,0
6700,11292,13891,0
6700,11413,14831,0
6700,13198,14893,0
6700,13244,15376,0
6700,14262,11292,0
6700,14869,11292,0
0A875,10713,11292,471
0A875,11057,11292,99
0A875,11292,11292,62
0A875,11292,11292,4
0A875,11292,11292,24
0A875,11292,11292,90
0A875,11292,11292,31037
0A875,11292,11292,136
0A875,11292,12954,42
0A875,11292,13487,8
0A875,11292,15016,155
0A875,11292,11292,0
0A875,11292,11292,128
0A875,11697,11292,52
0A875,11884,11292,33
0A875,13198,11292,109
0A875,13851,11292,0
0A875,13891,14107,54
0A875,14057,11292,460
0A875,14747,11292,50
0A875,14831,11003,0
0A875,15376,11292,27
6725,10693,11233,1612
6725,11292,13244,0
6725,11292,11292,1845
6725,11292,13930,1226
6725,12191,13502,1674
6725,12954,11292,0
