PAYLOAD,FREIGHT,MAIL
266500,0,0
372320,0,0
304000,0,0
304000,0,0
354820,0,0
670867,1573,12928
682346,851,0
708842,822,0
719949,164,0
703814,12,0
833604,370,0
700428,1076,5556
722077,64,0
713797,918,10407
708101,311,1009
704610,1695,6890
686159,252,0
868000,14047,0
721200,0,0
721200,0,0
600000,0,0
1030890,3649,1757
352200,0,0
283500,0,0
319200,0,0
276500,0,0
372540,0,0
810902,348,37051
760416,182,0
869700,1835,7869
750536,211,0
761150,2737,27576
753016,559,12762
839000,623,0
856207,235,25409
706542,38,0
737222,899,14408
722018,179,0
675319,2057,9608
720003,85,17626
714355,1033,12299
830193,371,2418
726600,6073,0
911400,6063,0
911400,3689,0
911400,6210,0
400932,0,0
74800,35966,0
74800,21747,0
369810,0,0
387420,0,0
387420,0,0
409800,0,0
334400,0,0
297000,0,0
411040,0,0
334400,0,0
759201,118,22653
793919,1536,11430
775888,262,0
787877,70,0
2178105,17922,18900
772058,1186,0
711169,102,1749
706175,738,845
764309,171,20983
784666,848,4261
762468,116,0
1005021,1894,13457
641670,31,0
761200,7027,0
954800,21316,0
954800,1479,0
420024,0,0
798000,0,0
798000,0,0
77000,35960,0
1385637,576847,0
77000,21715,0
77000,11749,0
1387471,824702,0
2360599,552896,0
405030,0,0
440250,0,0
405030,0,0
307000,0,0
349600,0,0
349600,0,0
349600,0,0
307000,0,0
349600,0,0
349600,0,0
349600,0,0
349600,0,0
349600,0,0
310500,0,0
303500,0,0
428540,0,0
1053224,660,0
969154,3280,0
807479,507,0
748476,488,0
757346,703,0
999993,797,41239
943700,574,21015
2290381,129167,24
795800,279,0
998200,3097,0
761200,745,0
998200,3409,0
998200,10538,0
998200,4522,0
439116,0,0
439116,0,0
255714,0,0
244596,0,0
230000,0,0
230000,0,0
717600,1529,1008
717600,1,1293
440250,0,0
405030,0,0
324000,0,0
324000,0,0
447280,0,0
320500,0,0
971593,201,0
1200038,27,7209
859025,610,7504
1009889,4871,14152
938261,493,0
846278,388,0
999794,1252,0
996961,5028,0
948399,5719,27470
1014240,491,0
768301,229,0
654428,219,0
1158310,5865,0
1156427,1858,0
779974,377,0
1041600,2184,0
830400,3203,0
830400,996,0
1041600,2376,0
1041600,1103,0
458208,0,0
458208,0,0
458208,0,0
439116,0,0
868800,0,0
868800,0,0
84000,40688,0
240000,0,0
38400,0,0
440250,0,0
380000,0,0
466020,0,0
1000021,2585,11777
792164,73,0
1018725,2093,21199
992355,3285,0
876454,3913,0
851692,384,13475
955614,591,21700
921417,167,2678
890467,1068,1429
1085000,12170,0
1085000,8631,0
477300,0,0
750000,0,0
750000,0,0
750000,0,0
750000,0,0
750000,0,0
88400,40799,0
457860,0,0
457860,0,0
484760,0,0
395200,0,0
487240,0,0
395200,0,0
484760,0,0
344000,0,0
395200,0,0
351000,0,0
395200,0,0
344000,0,0
923286,92,0
1099589,1002,9892
916944,91,0
1128400,5586,0
830400,5171,0
934200,1221,0
899600,6116,0
1128400,1335,0
780000,0,0
942000,0,0
780000,0,0
942000,0,0
780000,0,0
91000,40799,0
886237,122,7052
886237,816,7011
289068,0,0
289068,0,0
289068,0,0
41600,0,0
41600,0,0
41600,0,0
510690,0,0
475470,0,0
457860,0,0
503500,0,0
410400,0,0
364500,0,0
410400,0,0
410400,0,0
364500,0,0
1115121,2034,29315
1181822,3289,14285
1107148,2449,12484
967461,542,5063
912709,1082,17166
1049430,444,2777
934200,2312,0
1171800,12594,0
1171800,22565,0
1171800,7042,0
1171800,5294,0
515484,0,0
515484,0,0
5177242,2198850,0
