FLIGHT_NUMBER,DISTANCE,AIR_TIME,FREIGHT,PASSENGERS,ORIGIN_STATE_ABR,DEST_STATE_ABR,UNIQUE_CARRIER_ENTITY
527,804,408,19,650,NV,CO,0A875
528,349,209,1861,660,NM,CO,6725
529,1449,768,0,624,SC,CO,6725
530,775,411,505,506,CO,TX,6725
531,1553,718,36,651,CO,VA,6725
532,853,466,0,549,CO,CA,6725
533,794,410,387,553,CO,TX,6725
534,948,508,509,677,CO,CA,6725
535,896,510,165,561,WI,CO,6725
536,680,391,1591,543,MN,CO,6725
537,1553,853,0,542,VA,CO,6725
538,794,436,0,649,TX,CO,6725
539,391,237,8,516,UT,CO,6725
540,639,360,82,551,AZ,CO,6725
541,977,493,0,276,CO,IN,6003
542,794,422,0,256,CO,TX,6003
543,563,339,0,242,TX,CO,6003
544,391,232,0,208,UT,CO,6003
545,896,460,0,693,CO,WI,6460
546,846,466,0,561,CO,CA,6460
547,896,527,0,577,WI,CO,6460
548,846,434,0,567,CA,CO,6460
549,680,353,0,505,CO,MN,6795
550,420,236,0,185,CO,KS,6904
551,420,264,0,158,KS,CO,6904
552,1081,401,0,146,CO,IL,6820
553,1081,593,0,211,IL,CO,6820
554,850,472,153735,0,CO,CA,6910
555,1024,499,243523,0,CO,KY,6910
556,391,240,173084,0,CO,UT,6910
557,391,212,171992,0,UT,CO,6910
558,692,440,0,281,CO,IA,7041
559,977,609,0,308,CO,IN,7041
560,977,657,0,328,IN,CO,7041
561,455,335,0,163,MT,CO,6700
562,1199,791,0,359,CO,GA,6700
563,455,350,0,180,CO,MT,6700
564,1201,790,0,365,CO,OH,6700
565,250,225,0,280,CO,CO,6700
566,752,508,0,314,CO,MT,6700
567,420,316,0,364,CO,KS,6700
568,533,407,0,228,CO,MO,6700
569,872,572,0,299,CO,TN,6700
570,604,403,0,192,CO,ND,6700
571,472,263,0,142,CO,NE,6700
572,916,662,0,197,CO,CA,6700
573,250,235,0,230,CO,CO,6700
574,533,404,0,335,MO,CO,6700
575,872,638,0,357,TN,CO,6700
576,776,426,0,124,CA,CO,6700
577,391,235,0,201,UT,CO,6700
578,649,437,471,738,ID,CO,0A875
579,1337,907,99,852,NC,CO,0A875
580,1491,856,62,581,CO,MD,0A875
581,692,441,4,461,CO,IA,0A875
582,1337,816,24,813,CO,NC,0A875
583,1069,660,90,500,CO,KY,0A875
584,1605,900,31037,1483,CO,NJ,0A875
585,836,587,136,528,CO,WA,0A875
586,964,681,42,632,CO,OR,0A875
587,819,542,8,602,CO,CA,0A875
588,948,758,155,694,CO,CA,0A875
589,909,623,0,592,CO,CA,0A875
590,639,456,128,490,CO,AZ,0A875
591,1703,1117,52,823,FL,CO,0A875
592,836,506,33,564,WA,CO,0A875
593,533,399,109,697,MO,CO,0A875
594,495,355,0,804,OK,CO,0A875
595,819,528,54,656,CA,CO,0A875
596,991,618,460,699,OR,CO,0A875
597,1024,634,50,605,WA,CO,0A875
598,948,621,0,613,CA,CO,0A875
599,639,476,27,619,AZ,CO,0A875
600,1014,736,1612,619,TN,CO,6725
601,854,598,0,633,CO,CA,6725
602,680,448,1845,665,CO,MN,6725
603,770,498,1226,697,CO,MO,6725
604,883,622,1674,686,TX,CO,6725
605,854,564,0,673,CA,CO,6725
606,495,350,139,715,OK,CO,6725
607,1290,899,0,821,PA,CO,6725
608,770,592,832,700,MO,CO,6725
609,770,545,0,331,MO,CO,6003
610,602,442,0,877,CO,AZ,6460
611,602,396,0,1091,AZ,CO,6460
612,680,474,0,653,MN,CO,6795
613,692,449,0,209,CO,IA,6904
614,90,133,0,14,WY,CO,6932
615,90,135,0,13,CO,WY,6932
616,872,640,0,387,CO,TN,7041
617,680,598,0,390,MN,CO,7041
618,1081,809,0,349,CO,IL,7041
619,1081,902,0,332,IL,CO,7041
620,1199,1019,0,382,GA,CO,6700
