UNIQUE_CARRIER_ENTITY,WAC,CARRIER_GROUP
6550,10,1
6549,10,1
38101,10,1
16027,10,1
6027,10,1
6026,10,1
9316C,316,0
10262,10,3
10261,10,3
10260,10,3
1260,10,3
9736A,736,0
80068,10,7
9493C,493,0
38123,10,1
9749A,749,0
6722,10,1
30645,10,1
16199,10,1
6201,10,1
16640,10,1
6728,10,1
6727,10,1
9900K,900,0
38121,10,1
38124,10,1
38122,10,1
90197,900,0
9507A,507,0
10052,10,3
10050,10,3
10049,10,3
0A050,10,3
9900B,900,0
38127,10,1
9106A,106,0
90201,900,0
6710,10,1
37889,10,1
90013,162,0
16702,10,1
6702,10,1
6701,10,1
38134,10,1
37979,10,1
38128,10,1
38131,10,1
38133,10,1
38129,10,1
38132,10,1
38130,10,1
9679A,679,0
12681,10,3
12680,10,3
2680,10,3
80069,10,7
9238B,238,0
38149,10,1
80070,10,7
38137,10,1
16876,10,1
16875,10,1
6880,10,1
6879,10,1
9900O,900,0
9736D,736,0
38136,10,1
38138,10,1
38140,10,1
38135,10,1
38144,10,1
38096,10,1
38157,10,1
38139,10,1
9337D,337,0
9224B,224,0
6906,10,1
6905,10,1
90188,273,0
38169,10,1
38143,10,1
38142,10,1
38146,10,1
38147,10,1
38141,10,1
38145,10,1
38153,10,1
9597A,597,0
9486B,486,0
38151,10,1
38152,10,1
9900D,900,0
9427C,427,0
9634A,634,0
9493J,493,0
90225,900,0
9148D,148,0
90232,900,0
9127A,127,0
9224D,224,0
2849,10,3
9238C,238,0
90226,900,0
9736C,736,0
38158,10,1
9493D,493,0
38160,10,1
38162,10,1
38161,10,1
9403A,403,0
16029,10,2
16028,10,2
6029,10,2
6028,10,2
9148A,148,0
38165,10,1
80072,10,7
30411,10,1
38167,10,1
38168,10,1
38170,10,1
38166,10,1
9493L,493,0
16883,10,1
6883,10,1
16915,10,1
6915,10,1
9277B,277,0
9110B,110,0
90133,388,0
9388K,388,0
9388G,388,0
9118C,118,0
9148E,148,0
9327B,327,0
9388D,388,0
9388C,388,0
9324C,324,0
9127C,127,0
16018,10,2
6018,10,2
9729B,729,0
9844A,844,0
16111,10,1
6111,10,1
6110,10,1
16950,10,1
80058,10,7
38173,10,1
38172,10,1
38174,10,1
38177,10,1
38175,10,1
38171,10,1
9409B,409,0
9388E,388,0
9277A,277,0
9233A,233,0
9106B,106,0
9427G,427,0
38204,10,1
9385A,385,0
16913,10,3
16912,10,3
16911,10,3
16910,10,3
6910,10,3
80053,10,7
38179,10,1
38205,10,1
38181,10,1
38184,10,1
38180,10,1
38182,10,1
38187,10,1
38188,10,1
38183,10,1
9385B,385,0
9153B,153,0
38195,10,1
16031,10,3
6031,10,3
9275A,275,0
9224E,224,0
9851A,851,0
9493M,493,0
38189,10,1
38190,10,1
38193,10,1
38194,10,1
38192,10,1
9388J,388,0
9427H,427,0
9388F,388,0
38199,10,1
38203,10,1
38198,10,1
38197,10,1
38202,10,1
38200,10,1
9403B,403,0
19757,10,1
19756,10,1
19755,10,1
9755,10,1
9754,10,1
6120,10,1
16664,10,1
6751,10,1
6748,10,1
16665,10,1
9327D,327,0
9736E,736,0
9565A,565,0
9388I,388,0
6711,10,1
9713B,713,0
38201,10,1
38206,10,1
9900C,900,0
80013,10,7
9736F,736,0
38210,10,1
38208,10,1
38209,10,1
38220,10,1
38212,10,1
16620,10,1
6620,10,1
6619,10,1
38186,10,1
38224,10,1
16092,10,1
6092,10,1
6091,10,1
9224I,224,0
90114,385,0
9385C,385,0
7900G,900,0
10877,10,3
10876,10,3
10874,10,3
0A875,10,3
38217,10,1
38218,10,1
38223,10,1
16755,10,1
6755,10,1
6754,10,1
16907,10,2
6907,10,2
16280,10,1
6685,10,1
16281,10,1
9441C,441,0
9281B,281,0
90020,281,0
38228,10,1
38226,10,1
38221,10,1
38225,10,1
16049,10,3
16048,10,3
6049,10,3
9224H,224,0
16054,10,1
6054,10,1
6053,10,1
6775,10,2
9327F,327,0
9153C,153,0
6670,10,1
6798,10,1
30845,10,1
16715,10,1
30766,10,1
9484D,484,0
9127D,127,0
16695,10,2
6695,10,2
9411B,411,0
9493G,493,0
9781B,781,0
16160,10,1
6160,10,1
6159,10,1
16087,10,2
6087,10,2
6086,10,2
38229,10,1
38231,10,1
9327G,327,0
38232,10,1
38230,10,1
38227,10,1
16893,10,1
6893,10,1
6892,10,1
9368D,368,0
9148L,148,0
16192,10,2
9388L,388,0
16762,10,2
6762,10,2
6761,10,2
16270,10,1
6280,10,1
6279,10,1
37758,10,1
9493O,493,0
9437A,437,0
9148K,148,0
9327H,327,0
9148M,148,0
9482D,482,0
9224A,224,0
9148F,148,0
9385D,385,0
16670,10,3
6750,10,3
9450B,450,0
6908,10,1
9162A,162,0
38236,10,1
38234,10,1
38238,10,1
38242,10,1
38237,10,1
38233,10,1
38239,10,1
19767,10,2
19765,10,2
9786,10,2
9488A,488,0
9148O,148,0
9703A,703,0
30124,10,1
6020,10,2
6024,10,2
38246,10,1
38243,10,1
10930,10,3
1930,10,3
16947,10,1
16946,10,1
6946,10,1
6945,10,1
16916,10,1
6916,10,1
9409C,409,0
9148N,148,0
16561,10,1
6561,10,1
6560,10,1
9605A,605,0
9206B,206,0
16208,10,2
16201,10,2
6198,10,2
6197,10,2
90044,821,0
9821A,821,0
6032,10,1
38213,10,1
38248,10,1
38250,10,1
9529A,529,0
9900T,900,0
9900R,900,0
38249,10,1
38251,10,1
38252,10,1
38159,10,1
6540,10,1
9900S,900,0
9484A,484,0
9419D,419,0
16772,10,1
6772,10,1
6771,10,1
9224C,224,0
38255,10,1
9238E,238,0
6922,10,2
9316D,316,0
9788A,788,0
38253,10,1
38256,10,1
38254,10,1
6075,10,1
37991,10,1
9148P,148,0
6898,10,1
38258,10,1
16881,10,2
16880,10,2
6855,10,2
9303C,303,0
9900V,900,0
9770A,770,0
38259,10,1
6175,10,1
6680,10,1
16932,10,2
16931,10,2
16930,10,2
6930,10,2
6929,10,2
9148Q,148,0
6753,10,1
38260,10,1
16697,10,1
6697,10,1
6696,10,1
16759,10,2
16758,10,2
16757,10,2
6758,10,2
90119,900,0
16825,10,1
6825,10,1
6824,10,1
9475D,475,0
9475C,475,0
9337C,337,0
16853,10,1
6853,10,1
6852,10,1
80029,10,7
16197,10,3
16196,10,3
16195,10,3
6200,10,3
6721,1,1
11041,1,1
80041,1,7
9484C,484,0
9488B,488,0
9162D,162,0
38263,10,1
38262,10,1
9259B,259,0
30018,10,1
9900E,900,0
9409D,409,0
30047,10,1
6013,10,1
9482A,482,0
9429A,429,0
9224J,224,0
38264,10,1
9148H,148,0
9409E,409,0
16768,10,1
6768,10,1
6767,10,1
90045,493,0
9204B,204,0
9493Q,493,0
16792,10,1
6802,10,1
6799,10,1
38267,10,1
38266,10,1
30312,10,1
6180,10,1
9713C,713,0
9243B,243,0
38270,10,1
9770B,770,0
6734,10,1
9482C,482,0
6009,10,1
9439B,439,0
38271,10,1
6205,10,2
38207,10,1
6220,10,2
9131B,131,0
9235A,235,0
16797,10,1
6797,10,1
6796,10,1
16886,10,1
6886,10,1
6885,10,1
9461B,461,0
16198,10,1
6746,10,1
6747,10,1
9736H,736,0
16052,10,1
6052,10,1
6051,10,1
9148R,148,0
9522A,522,0
9427J,427,0
9388H,388,0
9316E,316,0
9486C,486,0
38272,10,1
38273,10,1
12120,10,3
2120,10,3
9429F,429,0
9823A,823,0
9454C,454,0
6000,10,1
9224K,224,0
16565,10,1
6565,10,1
6564,10,1
9316F,316,0
6290,10,1
6699,10,1
11040,10,2
30546,10,1
6692,10,2
16042,10,1
6043,10,1
6042,10,1
90086,153,0
16191,10,2
6191,10,2
38276,10,1
9454B,454,0
6737,10,2
16070,10,1
6070,10,1
6069,10,1
16698,10,1
6698,10,1
9484E,484,0
38280,10,1
9303F,303,0
9417A,418,0
9418A,418,0
9484F,484,0
9736I,736,0
9419E,419,0
6870,10,1
9368E,368,0
9368F,368,0
16841,10,2
6841,10,2
6840,10,1
16451,10,2
6451,10,2
6450,10,1
6914,10,2
16510,10,2
6510,10,2
16061,10,2
6061,10,2
6060,10,1
16884,10,1
6884,10,1
6882,10,1
9456A,456,0
38268,10,1
38288,10,1
38289,10,1
9636B,636,0
16057,10,1
6815,10,1
6055,10,1
6166,10,1
38240,10,1
16400,10,1
6400,10,1
6399,10,1
16729,10,1
6729,10,1
9427F,427,0
