AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT_WAC,,AIRPORT_NAME
10194,1019403,30194,74,,TUL
11267,1126702,31267,44,,DEN
11711,1171102,31711,86,,DEN
11447,1144703,31447,66,,LIT
13029,1302902,33029,65,,MSO
10627,1062702,30627,66,,TUS
14698,1469802,34236,91,,DEN
13158,1315803,33158,74,,COS
12758,1275803,32758,2,,ABQ
13830,1383002,33830,2,,ATL
10272,1027203,30272,82,,AUS
13303,1330303,32467,33,,CID
12156,1215603,32156,84,,COD
12519,1251902,32519,66,,CPR
12173,1217302,32134,2,,DFW
12217,1221702,30255,51,,GRR
11637,1163703,31637,66,,IAH
14534,1453402,34534,88,,JAC
10299,1029904,30299,1,,LIT
14120,1412002,34120,67,,MFR
12255,1225502,32255,62,,OMA
10221,1022103,30221,65,,ORD
10925,1092502,30925,65,,RDM
13200,1320002,33200,65,,SAN
15582,1558202,35582,87,,SDF
11865,1186502,31865,88,,SFO
14543,1454302,34543,88,,SFO
11092,1109202,31092,87,,SNA
14674,1467402,34674,86,,SUN
12280,1228002,32280,83,,COS
13232,1323202,30977,41,,LAX
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,DEN
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BIL
,,,,,BOS
,,,,,BZN
,,,,,CVG
,,,,,DTW
,,,,,FLL
,,,,,IAD
,,,,,IAH
,,,,,LAS
,,,,,MCI
,,,,,MCO
,,,,,ORD
,,,,,PHL
,,,,,PSP
,,,,,RIC
,,,,,RNO
,,,,,SLC
,,,,,STL
,,,,,STL
,,,,,TUL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BOI
,,,,,DTW
,,,,,GRR
,,,,,MKE
,,,,,PDX
,,,,,PHL
,,,,,RNO
,,,,,RSW
,,,,,TUL
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,CLE
,,,,,COS
,,,,,DSM
,,,,,ICT
,,,,,OMA
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,CMH
,,,,,DTW
,,,,,IAH
,,,,,IND
,,,,,MCO
,,,,,MCO
,,,,,MSO
,,,,,ORD
,,,,,ORD
,,,,,PHX
,,,,,STL
,,,,,TYS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DFW
,,,,,IND
,,,,,MCI
,,,,,MSY
,,,,,SLC
,,,,,TUS
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DTW
,,,,,DEN
,,,,,LAW
,,,,,DRO
,,,,,DEN
,,,,,DEN
,,,,,MTJ
,,,,,DFW
,,,,,SLN
,,,,,DEN
,,,,,STL
,,,,,COS
,,,,,DEN
,,,,,GUC
,,,,,BFI
,,,,,LAS
,,,,,SDF
,,,,,DEN
,,,,,DEN
,,,,,PDX
,,,,,DEN
,,,,,DEN
,,,,,MSP
,,,,,MSP
,,,,,DEN
,,,,,GRR
,,,,,DEN
,,,,,DEN
,,,,,COS
,,,,,GJT
,,,,,GTF
,,,,,PDX
,,,,,SAT
,,,,,COS
,,,,,ASE
,,,,,DEN
,,,,,DFW
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ATL
,,,,,BOS
,,,,,DCA
,,,,,GEG
,,,,,ICT
,,,,,RDU
,,,,,SBA
,,,,,TPA
,,,,,TUS
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,ABQ
,,,,,BWI
,,,,,CHS
,,,,,CMH
,,,,,GEG
,,,,,SDF
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BHM
,,,,,CMH
,,,,,MSP
,,,,,TUL
,,,,,DEN
,,,,,MSN
,,,,,MSP
,,,,,RDU
,,,,,SAT
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,BIL
,,,,,ELP
,,,,,DEN
,,,,,CVG
,,,,,SLC
,,,,,DEN
,,,,,DEN
,,,,,BZN
,,,,,MSP
,,,,,SDF
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,AMA
,,,,,BZN
,,,,,CVG
,,,,,DAY
,,,,,GRR
,,,,,LBB
,,,,,MTJ
,,,,,ONT
,,,,,PHX
,,,,,PSP
,,,,,RDM
,,,,,SAT
,,,,,TUL
,,,,,DEN
,,,,,GJT
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
,,,,,DEN
