AIRCRAFT_CONFIG,SEATS,PASSENGERS
1,2700,2494
1,2700,2222
1,3222,3047
1,3150,2922
1,1190,1052
1,900,801
1,900,769
1,900,677
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,1330,799
1,1330,1235
1,1444,988
1,2432,2334
1,2432,1451
1,2432,2272
1,2432,2077
1,3401,3116
1,3130,2211
1,2432,2274
1,3401,2356
1,4788,4382
1,2432,1495
1,3142,2518
1,2432,1960
1,4788,4400
1,2850,2747
1,1330,1220
1,1330,1203
1,1330,1222
1,1330,1232
1,1330,1144
1,2850,2198
2,0,0
2,0,0
2,0,0
1,1400,1231
1,1400,642
1,1330,1219
1,1380,893
1,1520,1309
1,1520,1343
1,1000,727
1,1400,1359
1,1520,1266
1,1520,1489
1,1330,1264
1,3000,2599
1,3000,2835
1,3000,2533
1,3000,2539
1,2560,1873
1,3308,2451
1,2560,2357
1,3000,2185
1,3000,2786
1,3000,2694
1,3000,2630
1,3000,2341
1,3500,3315
1,3600,3185
1,3600,3192
1,3000,2392
1,3779,3556
1,1400,1220
1,1050,852
1,1596,1345
1,1050,987
1,1449,1004
1,3320,3030
1,3150,2821
1,3474,3082
1,2688,2389
1,3150,2839
1,2688,2401
1,3735,3102
1,3759,3465
1,2560,2346
1,2688,2571
1,2688,2463
1,2560,2399
1,3150,2854
1,3150,2937
1,3486,3323
1,3003,2247
1,3675,1683
1,3675,2102
1,3675,3148
1,1469,1354
2,0,0
2,0,0
1,1470,1332
1,1540,1184
1,1540,1171
1,1540,696
1,1672,1581
1,1100,779
1,1540,1379
1,1672,1215
1,2816,2543
1,3300,3055
1,2816,2489
1,2816,1559
1,7913,6174
1,3300,3078
1,3150,2855
1,2816,2673
1,3300,2966
1,3300,2615
1,2816,2661
1,3938,3690
1,2816,2037
1,3146,2872
1,3850,3714
1,3850,3766
1,1540,1430
1,3960,3289
1,3960,3366
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,1610,1245
1,1750,1602
1,1610,1484
1,1150,1064
1,1748,1645
1,1748,1532
1,1748,1650
1,1150,1087
1,1748,1653
1,1748,1379
1,1748,1578
1,1748,1367
1,1748,1652
1,1150,1023
1,1150,996
1,1610,1102
1,4117,3699
1,4117,3729
1,2944,2485
1,3450,2105
1,2944,2706
1,4117,3887
1,3794,3365
1,8277,6738
1,3289,2635
1,4025,3760
1,3146,2970
1,4025,3708
1,4025,2760
1,4025,3476
1,1609,1450
1,1609,1269
1,1150,1046
1,1100,1009
1,1150,1096
1,1150,916
1,2640,2486
1,2640,2380
1,1750,1462
1,1610,1157
1,1200,1059
1,1200,925
1,1680,1489
1,1200,1061
1,3972,3522
1,4463,3576
1,3600,3070
1,3936,3383
1,4117,3898
1,3600,2282
1,4056,3552
1,4056,3711
1,3972,3779
1,4296,4189
1,3600,2917
1,3072,2327
1,4056,3052
1,4056,3450
1,3072,2594
1,4200,3865
1,3432,3238
1,3432,3283
1,4200,4050
1,4200,3856
1,1680,1627
1,1679,1289
1,1679,1547
1,1610,1365
1,4320,3723
1,4320,3458
2,0,0
1,1200,962
1,192,176
1,1750,1602
1,1900,1698
1,1750,1516
1,4138,4020
1,3200,2770
1,4126,3610
1,4138,3660
1,3200,2745
1,3200,2893
1,4102,4022
1,4138,3668
1,3200,2777
1,4375,4063
1,4375,3748
1,1750,1666
1,3750,3543
1,3750,3589
1,3750,3157
1,3750,3477
1,3750,3592
2,0,0
1,1820,1693
1,1820,1519
1,1820,1369
1,1976,1878
1,1820,1537
1,1976,1538
1,1820,1409
1,1300,1036
1,1976,1876
1,1300,857
1,1976,1856
1,1300,1034
1,3328,2976
1,4654,4320
1,3900,3602
1,4550,4367
1,3432,3362
1,3861,3680
1,3718,3526
1,4550,3776
1,3900,3208
1,4680,3677
1,3900,3388
1,4680,4463
1,3900,3674
2,0,0
1,3303,2861
1,3303,2982
1,1300,1231
1,1300,1208
1,1300,880
1,208,114
1,208,93
1,208,193
1,2030,1906
1,1890,1722
1,1820,1681
1,1890,1573
1,2052,1860
1,1350,1016
1,2052,1387
1,2052,1997
1,1350,1134
1,4821,4385
1,4833,3896
1,4410,3647
1,3456,2703
1,3456,3283
1,4410,3716
1,3861,3488
1,4725,4554
1,4725,4330
1,4725,4551
1,4725,4227
1,1890,1667
1,1890,1616
2,0,0
1,3840,2610
1,3584,3163
1,4754,2489
1,4480,4196
1,5068,4330
1,3584,3296
1,4640,4451
1,2030,1686
1,1960,1643
1,1960,1767
1,2128,1880
1,1400,1111
1,1400,1040
1,4576,4160
1,5012,4629
1,4833,4488
1,4900,4400
1,4200,3949
1,4200,3838
1,5040,4765
1,4200,3890
1,4200,3981
1,5040,4466
1,6384,5775
1,6384,5583
1,5040,4792
1,2015,1648
1,1400,1038
1,1400,1158
1,4640,3826
1,5249,4379
1,4938,3286
1,1890,1193
1,1450,1346
1,2030,1587
1,5191,4615
1,5191,4558
1,10556,9532
1,3712,3446
1,6351,5596
1,10556,9571
1,4147,3896
1,5250,4516
1,5075,4540
1,4147,3210
1,2030,1757
1,5220,5027
1,5220,4719
1,5220,4577
1,4350,4100
1,4350,4038
1,4350,4210
1,5220,4442
1,5220,4446
1,5220,4242
1,5220,4925
1,5220,4613
1,5220,4846
1,5220,4690
1,5220,4826
1,2173,1885
1,2249,1099
1,2249,1213
1,5088,4548
1,5088,4472
1,1450,1104
1,1400,1155
1,5610,4970
1,5610,5219
1,4633,4272
1,4477,4155
1,4791,4616
1,2100,1101
1,2100,1074
1,1500,1377
1,2100,1822
1,1500,1409
1,2280,2140
1,2100,1635
1,1500,1231
1,1500,1230
1,2100,1821
1,1500,1002
1,10920,9692
1,5370,4629
1,10920,10120
1,6570,6022
1,3840,3015
1,5370,5095
1,5358,4659
1,4290,4156
1,5250,4468
1,4290,4114
1,4290,4158
1,2099,1973
1,6900,6530
1,6900,5709
1,4500,4265
1,5400,4684
1,4500,4166
1,4500,3970
1,5400,4906
1,4500,4042
1,6900,5791
1,6900,6024
1,4500,4238
1,4500,4019
